sample	population
PDOM2013AUS0029U_01-78565	introduced_house
PIAG2014CPV0001F_01-Sp3	iago
PIAG2014CPV0003M_02-RBB02	iago
PIAG2014CPV0002M_02-Sp4	iago
PDOM2013AUS0030U_03-78832	introduced_house
PHIS2014CPV0063M_03-Sp5	spanish
PHIS2014CPV0064M_04-Sp6	spanish
PDOM2013AUS0031U_07-46265	introduced_house
PDOM2013AUS0032U_10-78830	introduced_house
PIAG2014CPV0006F_11-RBC12	iago
PIAG2014CPV0009F_12-RBC07	iago
PIAG2014CPV0012F_13-RBC13	iago
PIAG2014CPV0015M_16-RBC04	iago
PIAG2014CPV0018F_17-RBB05	iago
PDOM2013AUS0033U_18-46646	introduced_house
PDOM2012NOR0001F_180bp	european_house
PDOM2013AUS0034U_19-78533	introduced_house
PIAG2014CPV0021F_21-RBB06	iago
PIAG2014CPV0024M_23-RBC02	iago
PDOM2013AUS0035U_24-46650	introduced_house
PIAG2014CPV0027M_25-RBC08	iago
PIAG2014CPV0030M_26-RBC09	iago
PDOM2013AUS0036U_27-78634	introduced_house
PDOM2017GRC0001M_29-B8502	european_house
PIAG2014CPV0033M_31-RBB07	iago
PIAG2014CPV0036F_32-RBC01	iago
PITAITA0000_33-LS757	italian_mainland
PITAITA0000_34-LS874	italian_mainland
PDOM2013AUS0037U_35-46268	introduced_house
PITAITA0000_35-SD1901	italian_mainland
PITAITA0000_36-LS759	italian_mainland
PIAG2014CPV0039M_36-RBC16	iago
PITAITA0000_37-LS890	italian_mainland
PITAITA0000_38-SD1902	italian_mainland
PITAITA0000_39-LS762	italian_mainland
PITAITA0000_40-LS899	italian_mainland
PITAITA0000_41-SD1904	italian_mainland
PITAITA0000_42-LS769	italian_mainland
PITAITA0000_43-LS905	italian_mainland
PITAITA0000_430	italian_mainland
PITAITA0000_44-SD1905	italian_mainland
PITAITA0000_45-LS776	italian_mainland
PITAITA0000_46-LS906	italian_mainland
PITAITA0000_47-SD1906	italian_mainland
PITAITA0000_48-LS778	italian_mainland
PITAITA0000_49-LS915	italian_mainland
PITAITA0000_50-SD1907	italian_mainland
PITAITA0000_51-LS782	italian_mainland
PITAITA0000_52-LS916	italian_mainland
PITAITA0000_53-SD1908	italian_mainland
PITAITA0000_54-LS793	italian_mainland
PITAITA0000_55-LS917	italian_mainland
PITAITA0000_56-SD1909	italian_mainland
PITAITA0000_57-LS795	italian_mainland
PITAITA0000_58-LS929	italian_mainland
PITAITA0000_59-SD1910	italian_mainland
PMON2012FRA0001U_5PMCos	tree
PITAITA0000_60-LS817	italian_mainland
PITAITA0000_61-LS948	italian_mainland
PITAITA0000_62-SD1913	italian_mainland
PITAITA0000_63-LS818	italian_mainland
PITAITA0000_64-LS961	italian_mainland
PITAITA0000_65-SD1914	italian_mainland
PITAITA0000_66-LS819	italian_mainland
PITAITA0000_67-LS965	italian_mainland
PITAITA0000_68-LS820	italian_mainland
PITAITA0000_69-LS973	italian_mainland
PITAITA0000_70-SD1919	italian_mainland
PITAITA0000_71-LS821	italian_mainland
PITAITA0000_72-LS987	italian_mainland
PITAITA0000_73-SD1920	italian_mainland
PITAITA0000_74-LS829	italian_mainland
PDOM2012NOR0004M_8934547	european_house
PDOM2012NOR0017F_8L19747	european_house
PDOM2012NOR0005F_8L19766	european_house
PDOM2012NOR0002M_8L19786	european_house
PDOM2012NOR0018F_8L19791	european_house
PDOM2012NOR0019F_8L48304	european_house
PDOM2012NOR0020F_8L52105	european_house
PDOM2012NOR0031M_8L52141	european_house
PDOM2012NOR0021F_8L52815	european_house
PDOM2012NOR0006M_8L52830	european_house
PDOM2012NOR0022F_8L57906	european_house
PDOM2012NOR0023F_8L64093	european_house
PDOM2012NOR0009M_8L64869	european_house
PDOM2012NOR0007M_8L89915	european_house
PDOM2012NOR0008M_8M31651	european_house
PDOM2012NOR0024F_8M71910	european_house
PDOM2012NOR0010M_8M71932	european_house
PDOM2012NOR0011M_8M72455	european_house
PDOM2012NOR0025F_8M72456	european_house
PDOM2012NOR0026F_8N05101	european_house
PDOM2012NOR0027F_8N05169	european_house
PDOM2012NOR0013M_8N05240	european_house
PDOM2012NOR0028F_8N05268	european_house
PDOM2012NOR0012M_8N05890	european_house
PDOM2012NOR0014M_8N06612	european_house
PDOM2012NOR0015M_8N06634	european_house
PDOM2012NOR0029M_8N73248	european_house
PDOM2012NOR0030F_8N73249	european_house
PDOM2012NOR0016M_8N73604	european_house
PDOM2014CHE0001M_A241	european_house
PDOM2014CHE0002M_A244	european_house
PDOM2014CHE0003M_A245	european_house
PDOM2014CHE0004M_A246	european_house
PDOM2014CHE0005M_A249	european_house
PDOM2014CHE0006M_A253	european_house
PDOM2014CHE0007M_A254	european_house
PDOM2014CHE0008M_A255	european_house
PDOM2014CHE0009M_A256	european_house
PDOM2014CHE0010M_A352	european_house
PDOM2014CHE0011M_A353	european_house
PDOM2014CHE0012M_A354	european_house
PDOM2014CHE0013M_A356	european_house
PDOM2014CHE0014M_A360	european_house
PDOM2014CHE0015M_A362	european_house
PDOM2014CHE0016M_A363	european_house
PDOM2014CHE0017M_A365	european_house
PDOM2017GRC0002M_B116548	european_house
PDOM2017GRC0003M_B119381	european_house
PDOM2017CYP0001M_B7802	european_house
